date,location,temperature,humidity,pressure,wind_speed,rainfall,risk_score
2023-01-01,Area1,25.5,65.2,1013.2,5.3,0.0,35.2
2023-01-02,Area1,26.1,68.7,1012.8,4.9,2.5,38.7
2023-01-03,Area1,24.8,72.3,1012.5,6.2,5.3,42.1
2023-01-04,Area1,23.9,75.1,1011.9,7.5,10.2,46.8
2023-01-05,Area1,24.5,71.6,1012.3,6.8,3.7,40.5
2023-01-06,Area1,25.2,69.8,1012.6,5.9,1.2,37.9
2023-01-07,Area1,25.8,67.4,1013.0,4.8,0.0,36.2
2023-01-08,Area1,26.3,66.9,1013.3,4.2,0.0,35.5
2023-01-09,Area1,25.9,68.2,1012.9,4.6,0.8,36.8
2023-01-10,Area1,26.5,65.7,1013.5,4.0,0.0,35.1
2023-01-01,Area2,23.2,62.8,1014.1,4.7,0.0,32.4
2023-01-02,Area2,23.8,64.5,1013.9,4.3,1.8,34.6
2023-01-03,Area2,22.9,67.2,1013.6,5.1,3.9,37.8
2023-01-04,Area2,22.1,70.3,1013.1,6.4,7.8,41.5
2023-01-05,Area2,22.7,68.1,1013.4,5.8,2.9,38.2
2023-01-06,Area2,23.3,65.9,1013.7,4.9,0.9,35.7
2023-01-07,Area2,23.9,64.1,1014.0,4.3,0.0,33.5
2023-01-08,Area2,24.2,63.5,1014.2,3.9,0.0,32.8
2023-01-09,Area2,23.8,65.1,1014.0,4.2,0.6,34.1
2023-01-10,Area2,24.4,62.9,1014.3,3.7,0.0,32.2
2023-01-01,Area3,27.1,68.3,1012.5,5.9,0.0,38.6
2023-01-02,Area3,27.8,71.2,1012.2,5.5,3.2,42.1
2023-01-03,Area3,26.5,74.8,1011.8,6.8,6.7,46.5
2023-01-04,Area3,25.4,78.1,1011.2,8.3,12.7,51.9
2023-01-05,Area3,26.1,75.2,1011.6,7.6,4.6,45.2
2023-01-06,Area3,26.8,72.4,1011.9,6.5,1.5,41.3
2023-01-07,Area3,27.5,69.8,1012.3,5.4,0.0,39.4
2023-01-08,Area3,28.1,69.2,1012.6,4.8,0.0,38.7
2023-01-09,Area3,27.6,70.5,1012.4,5.2,1.0,40.1
2023-01-10,Area3,28.3,68.6,1012.7,4.6,0.0,38.2
2023-01-01,Area4,22.5,59.7,1014.7,4.3,0.0,30.1
2023-01-02,Area4,23.1,61.5,1014.5,3.9,1.4,32.3
2023-01-03,Area4,22.2,64.2,1014.2,4.7,3.1,35.5
2023-01-04,Area4,21.4,67.3,1013.7,6.0,6.3,39.2
2023-01-05,Area4,22.0,65.1,1014.0,5.4,2.3,36.8
2023-01-06,Area4,22.6,62.9,1014.3,4.5,0.7,34.3
2023-01-07,Area4,23.2,61.1,1014.6,3.9,0.0,32.1
2023-01-08,Area4,23.5,60.5,1014.8,3.5,0.0,31.4
2023-01-09,Area4,23.1,62.1,1014.6,3.8,0.5,32.7
2023-01-10,Area4,23.7,60.3,1014.9,3.3,0.0,31.0
2023-01-01,Area5,26.3,67.1,1013.0,5.6,0.0,37.4
2023-01-02,Area5,26.9,70.0,1012.7,5.2,2.8,40.9
2023-01-03,Area5,25.6,73.6,1012.3,6.5,5.9,45.3
2023-01-04,Area5,24.5,76.9,1011.8,8.0,11.3,50.7
2023-01-05,Area5,25.2,74.0,1012.1,7.3,4.1,44.0
2023-01-06,Area5,25.9,71.2,1012.4,6.2,1.3,40.1
2023-01-07,Area5,26.6,68.6,1012.8,5.1,0.0,38.2
2023-01-08,Area5,27.2,68.0,1013.1,4.5,0.0,37.5
2023-01-09,Area5,26.7,69.3,1012.9,4.9,0.9,38.9
2023-01-10,Area5,27.4,67.4,1013.2,4.3,0.0,37.0